number,base_treaty,name,year,entry_type,full_fta,standards,investments,services,procurement,competition,iprs,depth_index,depth_rasch,flexrigid,flexescape,enforce,enforce01
635,635,Nicaragua Venezuela,1986,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
636,636,North American Free Trade Agreement (NAFTA),1992,base_treaty,1,1,1,1,1,1,1,7,1.800520693,6,4,8,4.25
637,637,Oman US,2006,base_treaty,1,1,1,1,1,0,1,6,1.800520693,4,2,9,4.5
638,638,Organisation of Eastern Caribbean States (OECS),1981,base_treaty,1,0,0,0,0,0,0,1,-0.592425271,1,1,5,4
639,639,Pacific Island Countries Trade Agreement (PICTA),2001,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,3,4,7,4.5
64,64,Association of Southeast Asian Nations (ASEAN) FTA,1992,base_treaty,1,1,0,0,0,0,0,2,-1.079971465,1,1,0,0
640,640,Pakistan Sri Lanka,2002,base_treaty,1,1,0,1,0,0,0,3,-0.279783415,3,4,3,3
641,641,Panama Singapore,2006,base_treaty,1,1,1,1,1,1,0,6,1.34194508,6,4,7,4
642,642,Panama Taiwan,2003,base_treaty,1,1,1,1,0,1,1,6,1.800520693,7,4,9,5.25
643,643,Panama US,2007,base_treaty,1,1,1,1,1,0,1,6,1.800520693,5,3,9,4.5
644,644,Peru Singapore,2008,base_treaty,1,1,1,1,1,1,1,7,1.558948891,6,4,8,4.25
645,645,Peru US,2006,base_treaty,1,1,1,1,1,1,1,7,1.867279672,6,3,9,4.5
646,646,Poland Turkey,1999,base_treaty,1,1,1,0,0,0,0,3,0.382661686,2,4,4,2.5
647,647,Protocol on Trade Negotiations (PTN),1971,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
648,648,Romania Serbia,2003,base_treaty,1,1,1,0,0,0,0,3,0.582921596,1,3,0,0
649,649,Romania Slovakia,1994,base_treaty,1,1,0,0,1,0,0,3,0.308776852,2,4,0,0
65,65,Association of Southeast Asian Nations (ASEAN) Preferential Trading Arrangements (PTA),1977,base_treaty,0,0,0,0,1,0,0,1,-1.079971465,0,1,0,0
650,650,Romania Turkey,1997,base_treaty,1,0,1,0,0,0,1,3,0.230177781,2,4,0,0
651,651,Russia Serbia and Montenegro,2000,base_treaty,1,1,0,0,0,0,0,2,-0.736250083,0,4,0,0
652,652,Russia Tajikistan,1992,base_treaty,1,0,0,0,0,0,0,1,-0.341101245,0,2,0,0
654,654,Russia Ukraine,1993,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,0,2,0,0
656,656,Saudi Arabia UAE,1978,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
657,657,Serbia Turkey,2009,base_treaty,1,1,1,0,1,0,0,4,0.703520501,3,4,0,0
658,658,Singapore US,2003,base_treaty,1,1,1,1,1,1,1,7,1.675464339,4,3,8,4.25
659,659,Slovakia Slovenia,1993,base_treaty,1,1,0,0,0,0,0,2,0.230177781,1,1,0,0
66,66,Association of Southeast Asian Nations (ASEAN) Australia New Zealand FTA (AANZFTA),2009,base_treaty,1,1,1,1,0,1,1,6,1.503075917,4,4,8,4.25
660,660,Slovakia Turkey,1997,base_treaty,1,1,0,0,0,0,0,2,0.230177781,2,4,0,0
661,661,Slovenia Turkey,1998,base_treaty,1,1,0,0,0,0,1,3,0.230177781,2,4,5,3.5
663,663,South Africa Southern Rhodesia Customs Union,1948,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,1,0,0
664,664,South Africa Zimbabwe,1964,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
666,666,"South Asian Association for Regional Cooperation, Preferential Trading Arrangement (SAPTA)",1993,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,3,0,0
667,667,South Asian Free Trade Area (SAFTA),2004,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,2,4,0,0
668,668,South Pacific Trade and Economic Co Operation Agreement (SPARTECA),1980,base_treaty,0,1,0,0,0,0,0,1,-1.501387199,0,2,0,0
669,669,Southern Africa Customs Union (SACU),1969,base_treaty,1,1,0,0,0,0,0,2,-1.079971465,0,0,0,0
67,67,Association of Southeast Asian Nations (ASEAN) China,2004,base_treaty,1,1,0,0,0,0,0,2,-0.279783415,4,3,8,4.75
670,670,Southern Africa Customs Union (SACU),2002,base_treaty,1,1,0,0,0,0,0,2,-0.59242527,0,0,3,3
671,671,Southern African Development Community (SADC),1992,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,0,3,2
672a,671,Southern African Development Community (SADC) (consolidated),1996,consolidated,1,1,0,0,0,0,0,2,0.230177781,4,3,3,2
675,675,Syria Turkey,2004,base_treaty,1,1,0,0,0,0,0,2,0.703520501,3,4,4,2.5
677,677,Tajikistan Ukraine,2001,base_treaty,1,1,0,0,0,0,0,2,-0.59242527,0,2,0,0
679,679,Trans Pacific Strategic EPA,2005,base_treaty,1,1,0,1,1,1,1,6,1.289686795,3,3,8,4.25
680,680,Treaty of Economic Association,1960,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,0,2,5,4
681,681,Trinidad and Tobago Venezuela,1989,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
682,682,Tripartite Agreement,1967,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
683,683,Tunisia Turkey,2004,base_treaty,1,1,0,0,0,1,0,3,0.452592045,3,4,3,3
684,684,Turkmenistan Ukraine,1994,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,1,1,0,0
686,686,Ukraine Uzbekistan,1994,base_treaty,1,1,0,0,0,0,0,2,-0.59242527,1,3,0,0
687,687,US Vietnam,2000,base_treaty,0,1,1,1,0,0,1,4,1.289686795,0,3,1,1
688,688,West African Economic and Monetary Union,1994,base_treaty,1,1,0,0,0,1,0,3,0.382661686,2,2,0,0
689,689,Yaounde I,1963,base_treaty,0,0,1,0,0,0,0,1,-0.279783415,0,2,6,4
68a,67,Association of Southeast Asian Nations (ASEAN) China (consolidated),2007,consolidated,1,1,0,1,0,0,0,3,0.452592045,4,4,8,4.75
69,69,Association of Southeast Asian Nations (ASEAN) Goods,2009,base_treaty,1,1,0,0,0,0,0,2,0.145911621,3,4,9,4.75
690,690,Yaounde II,1969,base_treaty,1,0,0,0,0,0,0,1,-0.422894455,0,2,3,2
694a,23,Andean Community (consolidated),1997,consolidated,1,1,0,1,0,0,0,3,-0.59242527,0,1,6,3
698,698,Argentina Uruguay,1974,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,1,0,0
699,699,Argentina Uruguay,1982,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,2,2,0,0
7,7,Albania Croatia,2002,base_treaty,1,1,1,0,0,0,1,4,0.817093568,2,3,1,1
70,70,Association of Southeast Asian Nations (ASEAN) India,2009,base_treaty,1,1,0,0,0,0,0,2,-0.802056364,5,2,6,4
700,700,Arusha Agreement I,1968,base_treaty,1,0,0,1,0,0,0,2,-0.59242527,0,2,5,4
706,706,Benelux Economic Union,1958,base_treaty,1,1,0,1,1,0,0,4,-0.422894455,0,0,2,2
71,71,Association of Southeast Asian Nations (ASEAN) Japan,2008,base_treaty,1,1,1,0,0,0,0,3,-0.155378409,5,4,8,4.25
714a,186,Central American Common Market (CACM) (consolidated),1993,consolidated,1,0,0,0,0,0,0,1,-0.59242527,1,3,4,3
715,715,Chile Cuba,1999,base_treaty,0,1,1,0,0,0,0,2,0.054748942,2,2,0,0
716,716,Chile Peru,2006,base_treaty,1,1,1,1,0,1,0,5,1.289686795,4,3,7,4
72,72,Association of Southeast Asian Nations (ASEAN) Korea,2006,base_treaty,1,1,0,0,0,0,0,2,0.054748942,4,4,7,3.75
732,732,Faroe Islands Finland,1992,base_treaty,1,1,0,0,1,0,0,3,-0.155378409,1,3,0,0
73a,72,Association of Southeast Asian Nations (ASEAN) Korea (consolidated),2007,consolidated,1,1,0,1,0,0,0,3,0.644249863,4,4,7,3.75
74,74,Australia Canada,1960,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
742,742,Guinea Morocco,1997,base_treaty,0,0,0,0,0,0,0,0,-1.079971465,0,3,0,0
75,75,Australia Chile,2008,base_treaty,1,1,1,1,1,1,1,7,1.800520693,2,4,8,4.25
756a,536,Jordan Sudan (consolidated),1989,consolidated,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
764,764,Malawi Zimbabwe,2006,base_treaty,1,1,0,0,0,0,0,2,-0.155378409,3,4,3,3
767,767,Mexico Peru,1987,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,2,0,0
768,768,Morocco Saudi Arabia,1966,base_treaty,0,0,0,0,0,0,0,0,-1.443904899,0,1,0,0
769,769,Morocco Senegal,1963,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
76a,65,Association of Southeast Asian Nations (ASEAN) Preferential Trading Arrangements (PTA) (consolidated),1995,consolidated,1,0,0,1,1,0,0,3,-0.422894455,0,1,0,0
77,77,Australia New Zealand (ANZCERTA),1983,base_treaty,1,1,0,0,1,0,0,3,-0.592425271,0,3,0,0
771,771,Peru Thailand,2005,base_treaty,0,1,0,0,0,0,0,1,-0.422894455,3,3,7,4.25
772,772,PTA for Eastern and Southern African States,1982,base_treaty,0,1,0,0,0,0,0,1,-0.592425272,0,1,3,2
780,780,West African Economic Community (CEAO),1973,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,1,1,3,2
781,781,Paraguay Venezuela,2008,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
782,782,Uruguay Venezuela,2008,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,0,0,0
783,783,Canada Portugal,1954,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
784,784,Canada Spain,1954,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
787,787,East African Community (EAC),1999,base_treaty,1,1,1,1,0,0,0,4,-0.422894455,0,2,3,2
788,788,East Caribbean Common Market,1968,base_treaty,1,1,0,0,0,0,0,2,-0.422894455,1,3,0,0
789,789,MERCOSUR Southern African Customs Union (SACU),2008,base_treaty,1,1,0,0,0,0,0,2,-0.279783415,5,3,8,4.25
78a,77,Australia New Zealand (ANZCERTA) (consolidated),1988,consolidated,1,1,0,1,1,0,0,4,0.145911621,0,3,0,0
79,79,Australia New Zealand Free Trade Agreement,1965,base_treaty,1,0,0,0,0,0,0,1,-0.802056364,1,3,0,0
790,790,El Salvador Guatemala,1991,base_treaty,1,0,0,0,0,0,0,1,-1.501387199,0,0,0,0
792,792,Brazil Uruguay,1982,base_treaty,0,0,0,0,0,0,0,0,-1.501387199,0,1,0,0
793,793,EC Switzerland Bilaterals I,1999,base_treaty,1,1,0,0,1,0,1,4,0.978712347,0,1,0,0
795,795,Australia Malaysia,2012,base_treaty,1,1,1,1,0,1,1,6,1.616314035,6,4,8,4.25
797,797,Canada Honduras,2013,base_treaty,1,1,1,1,1,1,0,6,1.448422211,3,3,8,4.25
798,798,Canada Panama,2009,base_treaty,1,1,1,1,1,1,0,6,1.558948891,3,3,8,4.25
799,799,Central America EC,2012,base_treaty,1,1,1,0,1,1,1,6,1.736735744,6,4,8,4.25
8,8,Albania EC SAA,2006,base_treaty,1,1,1,1,1,1,1,7,1.237837547,5,4,0,0
80,80,Australia Papua New Guinea,1991,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,0,4,0,0
800,800,Chile Malaysia,2010,base_treaty,1,1,0,0,0,0,1,3,0.145911621,6,4,8,4.25
801,801,Chile Thailand,2013,base_treaty,1,1,0,1,0,0,1,4,0.644249863,6,4,8,4.25
803,803,Chile Vietnam,2011,base_treaty,1,1,0,0,0,0,1,3,0.145911621,6,4,8,4.25
804,804,China Costa Rica,2010,base_treaty,1,1,1,1,0,0,1,5,0.978712347,6,4,7,3.75
805,805,Colombia Costa Rica,2013,base_treaty,1,1,1,1,1,1,1,7,1.867279672,6,4,8,4.25
806,806,Colombia Israel,2013,base_treaty,1,1,1,1,1,0,0,5,1.13467,6,4,9,5.25
808,808,Colombia Korea,2013,base_treaty,1,1,1,1,1,1,1,7,1.867279672,6,3,8,4.25
809,809,Colombia Panama,2013,base_treaty,1,1,1,1,1,1,1,7,1.736735744,6,4,8,4.25
81,81,Australia Papua New Guinea,1976,base_treaty,1,0,0,0,0,0,0,1,-0.59242527,0,4,0,0
810,810,Colombia EC Peru,2012,base_treaty,1,1,1,1,1,1,1,7,1.867279672,5,4,8,4.25
811,811,Commonwealth of Independent States (CIS),2011,base_treaty,1,1,0,0,0,0,0,2,-0.422894455,3,4,10,5.75
813,813,Costa Rica Peru,2011,base_treaty,1,1,1,1,1,1,1,7,1.800520693,6,4,8,4.25
814,814,Costa Rica Singapore,2010,base_treaty,1,1,1,1,1,1,1,7,1.394796147,6,4,8,4.25
815,815,EC Korea,2010,base_treaty,1,1,1,1,1,1,1,7,2.012065418,6,4,8,4.25
817,817,EFTA Hong Kong,2011,base_treaty,1,1,1,1,0,1,1,6,1.448422211,5,3,8,4.25
818,818,EFTA Montenegro,2011,base_treaty,1,1,1,0,0,0,1,4,1.13467,5,2,7,4.5
819,819,EFTA Peru,2010,base_treaty,1,1,1,0,1,1,1,6,1.616314035,6,3,8,4.25
82,82,Australia Singapore,2003,base_treaty,1,1,1,1,1,1,1,7,1.558948891,3,4,5,2.75
820,820,EFTA Ukraine,2010,base_treaty,1,1,1,1,1,1,1,7,1.867279672,5,3,8,4.25
821,821,Egypt MERCOSUR,2010,base_treaty,1,1,1,0,0,0,0,3,0.054748942,6,4,7,4
823,823,Guatemala Peru,2011,base_treaty,1,1,1,1,1,1,1,7,1.867279672,6,3,8,4.25
825,825,Hong Kong New Zealand,2010,base_treaty,1,1,1,1,1,1,1,7,1.289686795,3,3,8,4.25
826,826,India Japan,2011,base_treaty,1,1,1,1,0,1,1,6,1.34194508,5,4,8,4.25
827,827,India Malaysia,2011,base_treaty,1,1,1,1,0,0,1,5,1.083045446,5,3,7,3.75
829,829,Japan Peru,2011,base_treaty,1,1,1,1,1,1,1,7,2.012065418,5,3,8,4.25
83,83,Australia Thailand,2004,base_treaty,1,1,1,1,0,1,0,5,1.237837547,3,4,6,3.25
830,830,Korea Peru,2011,base_treaty,1,1,1,1,1,1,1,7,2.012065418,6,4,8,4.25
831,831,Korea Turkey,2012,base_treaty,1,1,0,0,0,1,1,4,0.925717038,6,4,8,4.25
832,832,Mauritius Turkey,2011,base_treaty,1,1,0,0,0,0,0,2,-0.044941779,4,4,3,2.5
833,833,Montenegro Ukraine,2011,base_treaty,1,1,0,1,0,0,0,3,0.51918862,6,4,9,5.25
834,834,New Zealand Taiwan,2013,base_treaty,1,1,1,1,1,1,1,7,1.558948891,3,4,7,3.75
836,836,Pacific Alliance,2012,base_treaty,1,1,1,1,1,0,1,6,1.237837547,2,3,8,4.25
837,837,Panama Peru,2011,base_treaty,1,1,1,1,1,1,1,7,1.800520693,6,3,8,4.25
838,838,Peru Venezuela,2012,base_treaty,0,1,0,0,0,0,0,1,-0.59242527,3,1,6,4.25
84,84,Australia US,2004,base_treaty,1,1,1,1,1,1,1,7,1.800520693,3,3,8,4.25
840,840,Australia China,2015,base_treaty,1,1,1,1,0,0,1,5,1.34194508,5,3,8,4.25
842,842,Australia Japan,2014,base_treaty,1,1,1,1,1,1,1,7,1.675464339,6,3,8,4.25
844,844,Bosnia and Herzegovina EFTA,2013,base_treaty,1,1,1,0,0,0,1,4,1.13467,5,2,9,5.25
848,848,Canada EC (CETA),2016,base_treaty,1,1,1,1,1,1,1,7,1.800520693,3,4,7,4
85,85,Austria EC,1972,base_treaty,1,1,0,0,0,0,0,2,-0.422894455,1,4,0,0
852,852,Canada Korea,2014,base_treaty,1,1,1,1,0,1,1,6,1.937568277,6,3,8,4.25
855,855,Canada Ukraine,2017,base_treaty,1,1,1,0,1,1,1,6,0.722425773,3,4,9,4.5
858,858,Chile Hong Kong,2012,base_treaty,1,1,1,1,1,1,1,7,1.237837547,3,3,8,4.25
86,86,Azerbaijan Georgia,1996,base_treaty,1,0,1,0,0,0,0,2,-0.422894455,0,2,0,0
862,862,China Switzerland,2013,base_treaty,1,1,1,1,0,1,1,6,1.503075917,6,3,8,4.25
864,864,Central America EFTA,2013,base_treaty,1,1,1,1,1,1,1,7,1.800520693,6,4,8,4.25
866,866,EC Georgia,2014,base_treaty,1,1,1,1,1,1,1,7,2.012065418,3,3,8,4.25
867,867,Armenia EC,2017,base_treaty,1,1,1,1,1,1,1,7,1.290013093,4,4,8,4.25
869,869,EC Japan,2018,base_treaty,1,1,1,1,1,1,1,7,1.633164114,5,4,8,4.25
872,872,EC Moldova,2014,base_treaty,1,1,1,1,1,1,1,7,2.091619223,6,4,8,4.25
874,874,EC Singapore,2018,base_treaty,1,1,1,1,1,1,1,7,2.091619223,6,4,7,4
876,876,EC Ukraine,2014,base_treaty,1,1,1,1,1,1,1,7,1.736735744,4,4,7,4.5
877,877,EC Vietnam,2019,base_treaty,1,1,1,1,1,1,1,7,2.012065418,6,4,7,4
885,885,Guatemala Trinidad and Tobago,2015,base_treaty,0,1,0,1,0,0,0,2,0.154710659,5,4,2,1.5
891,891,Mexico Panama,2014,base_treaty,1,1,1,1,0,0,1,5,1.503075917,6,4,8,4.25
895,895,Pacific Agreement on Closer Economic Relations (PACER) Plus,2017,base_treaty,1,1,1,1,0,0,0,4,1.101627303,3,4,8,4.25
896,896,Panama Trinidad and Tobago,2013,base_treaty,0,1,0,1,0,0,0,2,0.249500762,4,4,8,4.25
899,899,Transpacific Partnership (TPP),2016,base_treaty,1,1,1,1,1,1,1,7,1.937568277,6,3,9,4.5
9,9,Albania EFTA,2009,base_treaty,1,1,1,1,1,0,1,6,0.925717038,4,3,7,4.5
90,90,Azerbaijan Russia,1992,base_treaty,1,0,0,0,0,0,0,1,-0.192351228,0,2,0,0
908,908,Colombia Mexico Venezuela,1994,base_treaty,1,1,1,1,1,0,1,6,1.675464339,7,4,8,4.25
909,909,China Korea,2015,base_treaty,1,1,1,1,0,1,1,6,1.800520693,7,4,8,4.25
911,911,Australia Korea,2014,base_treaty,1,1,1,1,1,1,1,7,1.675464339,6,3,9,4.75
912,912,Korea New Zealand,2015,base_treaty,1,1,1,1,1,1,1,7,1.633164114,5,4,8,4.25
913,913,Korea Vietnam,2015,base_treaty,1,1,1,1,0,1,1,6,1.354654998,5,4,8,4.25
916,916,Cuba El Salvador,2011,base_treaty,0,1,0,0,0,0,0,1,-0.736247791,5,3,9,5.25
919,919,Honduras Peru,2015,base_treaty,1,1,1,1,1,1,1,7,1.633164114,6,4,8,4.25
92,92,Azerbaijan Ukraine,1995,base_treaty,1,1,0,0,0,0,0,2,-0.802056364,0,2,0,0
930,930,Japan Mongolia,2015,base_treaty,1,1,1,1,0,1,1,6,1.503075917,6,4,8,4.25
94,94,Bahrain Jordan,2001,base_treaty,1,0,0,0,0,0,0,1,-1.079971465,3,3,0,0
943,943,Malaysia Turkey,2014,base_treaty,1,1,1,0,0,0,0,3,0.382661686,6,4,8,4.25
949,949,Central America Mexico,2011,base_treaty,1,1,1,1,1,0,1,6,1.42082392,6,4,8,4.25
955,955,China Iceland,2013,base_treaty,1,1,1,1,0,1,1,6,0.761044193,6,4,8,4.25
96,96,Bahrain US,2004,base_treaty,1,1,1,1,1,0,1,6,1.186221953,4,3,9,4.5
962,962,Singapore Turkey,2015,base_treaty,1,1,1,1,1,1,1,7,1.633164114,4,4,8,4.25
965,965,EFTA Philippines,2016,base_treaty,1,1,1,1,0,1,1,6,0.787883143,4,4,9,4.5
97,97,Baltic Free Trade Area (BAFTA) agriculture,1996,base_treaty,0,1,0,0,0,0,0,1,-1.079971465,1,4,0,0
974,974,Chile Uruguay,2016,base_treaty,1,1,1,1,0,1,1,6,0.787883143,1,2,8,4.25
975,975,EC Kosovo SAA,2015,base_treaty,1,1,1,0,1,0,1,5,1.163853718,5,4,6,3.5
976,976,Laos US,2003,base_treaty,1,1,0,1,0,0,1,4,0.514360195,0,2,1,1
978,978,EC South African Development Community (SADC) EPA,2016,base_treaty,1,1,1,0,0,0,1,4,0.514360195,4,4,8,4.25
98,98,Baltic Free Trade Area (BAFTA) industrial,1993,base_treaty,1,1,0,0,0,0,1,3,0.054748942,1,4,0,0
981,981,EFTA Georgia,2016,base_treaty,1,1,1,1,1,1,1,7,1.488967445,6,4,8,4.75
983,983,Moldova Turkey,2014,base_treaty,1,1,0,0,0,0,1,3,-0.009444655,2,4,2,2
984,984,Hong Kong Macao,2017,base_treaty,1,1,1,1,0,0,0,4,0.439545368,1,2,0,0
987,987,Singapore Sri Lanka,2018,base_treaty,1,1,1,1,1,1,1,7,1.42082392,5,4,7,3.75
99,99,Baltic Free Trade Area (BAFTA) Non Tariff Barriers,1997,base_treaty,0,1,0,0,0,0,0,1,-0.155378409,0,0,0,0
990,990,China Georgia,2017,base_treaty,1,1,1,1,0,1,1,6,0.915176857,5,4,8,4.25
992,992,Australia Peru,2018,base_treaty,1,1,1,1,1,1,1,7,1.488967563,5,4,8,4
